name,img,link
"
バブリーポップ(BubbleePop)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/bubbleepop/200214-1808/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=bubbleepop
"
オーヘル(OhHell!)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/ohhell/181010-1107/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=ohhell
"
キングズ・ギルド(TheKing'sGuild)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/kingsguild/200410-0746/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=kingsguild
"
ペルド(Perudo)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/dudo/181010-1104/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=dudo
"
コロレット(Coloretto)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/coloretto/161205-1618/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=coloretto
"
ケイラス(Caylus)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/caylus/160826-2312/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=caylus
"
凶星のデストラップ(NotAlone)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/notalone/190702-1140/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=notalone
"
タルギ(Targi)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/targi/200221-1942/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=targi
"
トロワ(Troyes)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/troyes/181010-1110/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=troyes
"
チェス
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/chess/200214-0955/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=chess
"
セレスティア(Celestia)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/celestia/181010-1103/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=celestia
"
ハイブ(Hive)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/hive/170913-1826/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=hive
"
それはオレの牧場だ!(BattleSheep)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/splits/151125-1439/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=splits
"
大噴火(Eruption)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/akeruption/181010-1102/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=akeruption
"
リベルタリア(Libertalia)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/libertalia/191217-1614/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=libertalia
"
キーフラワー(Keyflower)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/keyflower/181010-1105/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=keyflower
"
エミネント・ドメイン(EminentDomain)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/eminentdomain/200213-1222/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=eminentdomain
"
カラーポップ(ColorPop)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/colorpop/151125-1118/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=colorpop
"
古代の建築士たち
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/thebuildersantiquity/190710-2358/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=thebuildersantiquity
"
セベク(Sobek)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/sobek/181010-1109/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=sobek
"
タシュ=カラール(Tash-Kalar)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/tashkalar/190509-2105/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=tashkalar
"
インベンターズ(LegendaryInventors)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/inventors/170725-1605/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=inventors
"
K2
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/k2/151125-1444/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=k2
"
P.I.
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/pi/191226-1621/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=pi
"
ルイス・クラーク探検隊(Lewis&Clark)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/lewisclark/191117-2156/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=lewisclark
"
タルバ(Taluva)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/taluva/200212-0539/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=taluva
"
ザ・ボス(TheBoss)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/theboss/181010-1109/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=theboss
"
クシディット王国記(LordsofXidit)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/lox/181107-1837/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=lox
"
ドラゴンハート(Dragonheart)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/dragonheart/181010-1104/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=dragonheart
"
こいこい
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/koikoi/200221-2218/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=koikoi
"
マキャベリ(Machiavelli)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/machiavelli/200102-2026/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=machiavelli
"
マデイラ(Madeira)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/madeira/181010-1106/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=madeira
"
覇王龍城(DragonCastle)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/dragoncastle/200316-2202/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=dragoncastle
"
クァンタム(Quantum)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/quantum/181006-0441/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=quantum
"
エルフェンランド(Elfenland)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/elfenland/200221-2028/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=elfenland
"
ドラゴンイヤー(InTheYearoftheDragon)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/intheyearofthedragon/170516-0932/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=intheyearofthedragon
"
トバゴ(Tobago)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/tobago/190401-1859/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=tobago
"
リバーシ
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/reversi/151226-1437/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=reversi
"
ニッポン：明治維新(Nippon)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/nippon/181010-1107/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=nippon
"
チェッカー
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/checkers/190314-1255/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=checkers
"
ステアフライ・エイティーン(StirFryEighteen)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/stirfryeighteen/200414-2138/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=stirfryeighteen
"
コリドール(Quoridor)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/quoridor/180420-1209/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=quoridor
"
ボタン(Buttons)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/buttons/181010-1103/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=buttons
"
シニョーリエ(Signorie)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/signorie/190523-1655/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=signorie
"
カフナ(Kahuna)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/kahuna/151229-1600/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=kahuna
"
クアルト(Quarto)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/quarto/170202-1134/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=quarto
"
高麗(Koryŏ)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/koryo/160904-0355/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=koryo
"
ガイア(Gaïa)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/gaia/181010-1105/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=gaia
"
ダンジョン・ツイスター(DungeonTwister)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/dungeontwister/200327-2350/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=dungeontwister
"
レーダー作戦ゲーム(BattleshipsPencil&Paper)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/battleship/190828-0518/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=battleship
"
ハワイ(Hawaii)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/hawaii/151125-1134/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=hawaii
"
カッラーラの宮殿(ThePalacesofCarrara)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/carrara/191217-1522/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=carrara
"
クロスマスター・アリーナ(KrosmasterArena)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/krosmasterarena/200329-2343/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=krosmasterarena
"
スカート(Skat)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/skat/200416-1824/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=skat
"
シャム(Siam)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/siam/191112-1411/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=siam
"
ゴス(Gosu)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/gosu/151125-1124/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=gosu
"
スパイリウム(Spyrium)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/spyrium/190917-2149/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=spyrium
"
囲碁
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/classicgo/170529-1315/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=classicgo
"
シークレットムーン(SecretMoon)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/secretmoon/200224-1905/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=secretmoon
"
アミティス(Amyitis)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/amyitis/190702-1709/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=amyitis
"
テルモピュレ(Thermopyles)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/thermopyles/181010-1109/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=thermopyles
"
五目並べ
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/gomoku/160731-1501/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=gomoku
"
ブリスコラ(Briscola)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/briscola/181024-1803/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=briscola
"
セイントポーカー(SaintPoker)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/saintpoker/200121-2318/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=saintpoker
"
ルール川の石炭貿易
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/ruhr/200421-1932/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=ruhr
"
ナイアガラ(Niagara)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/niagara/170406-1712/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=niagara
"
スルー・ジ・エイジズ(ThroughtheAges)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/throughtheages/190514-1114/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=throughtheages
"
ポリス：ペロポネソス戦争
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/polis/190109-1810/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=polis
"
バトル・オブ・リッツ(BattleofLITS)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/battleoflits/181010-1103/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=battleoflits
"
カラハ(Kalah)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/kalah/170719-1617/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=kalah
"
アッシリア(Assyria)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/assyria/151125-1109/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=assyria
"
ノーチラス(Nautilus)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/nautilus/190616-0001/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=nautilus
"
サークル・オブ・ライフ(CircleofLife)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/circleoflife/191022-2035/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=circleoflife
